Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,38.540001,40.692501,38.482498,39.477501,35.883938,237422800
2013-02-01,39.750000,40.220001,38.535000,39.660000,36.049831,244870000
2013-03-01,39.482498,42.740002,38.919998,42.459999,38.922607,259370400
2013-04-01,42.437500,42.747501,40.317501,42.115002,38.606354,207622800
2013-05-01,41.747501,46.224998,40.900002,44.535000,40.824753,311006400
2013-06-01,44.687500,46.307499,43.919998,45.687500,42.190079,248756800
2013-07-01,45.974998,49.000000,42.747501,44.252499,40.864933,336031200
2013-08-01,45.439999,46.285000,43.052502,43.605000,40.266994,371889200
2013-09-01,44.007500,50.215000,43.762501,47.775002,44.445114,284857200
2013-10-01,47.822498,51.312500,45.027500,49.167500,45.740540,270568400
2013-11-01,49.737499,51.267502,48.750000,50.865002,47.319736,205473600
2013-12-01,51.025002,55.680000,49.857498,55.669998,52.211159,281645600
2014-01-01,55.384998,58.875000,53.777500,53.857498,50.511280,301408000
2014-02-01,54.127499,57.119999,52.845001,56.485001,52.975525,231340800
2014-03-01,55.810001,58.167500,52.630001,53.965000,50.978966,266839600
2014-04-01,54.270000,54.540001,48.709999,50.652500,47.849762,387414000
2014-05-01,51.025002,53.987499,50.750000,53.707500,50.735714,219822800
2014-06-01,53.842499,53.922501,51.827499,52.677502,50.141026,202218800
2014-07-01,52.987499,56.187500,52.752499,52.752499,50.212410,221661200
2014-08-01,52.467499,54.500000,52.052502,53.130001,50.571735,179954800
2014-09-01,53.352501,54.662498,52.279999,53.342499,51.163258,204146800
2014-10-01,53.212502,60.625000,48.797501,60.357498,57.891670,323304000
2014-11-01,60.244999,64.875000,59.750000,64.547501,61.910500,207148400
2014-12-01,64.067497,67.330002,63.087502,65.550003,63.359165,197323300
2015-01-01,65.845001,66.687500,61.292500,63.727501,61.597576,56075900
2015-02-01,64.077499,68.625000,62.424999,67.827499,65.560547,49162900
2015-03-01,69.177498,69.662498,64.752502,65.410004,63.686062,136099900
2015-04-01,65.449997,69.980003,64.349998,66.050003,64.309181,160616100
2015-05-01,65.220001,70.690002,65.150002,68.680000,66.869873,144425000
2015-06-01,69.129997,70.019997,66.690002,67.150002,65.494614,131162700
2015-07-01,67.940002,76.919998,66.529999,75.339996,73.482704,177282000
2015-08-01,75.589996,76.169998,60.000000,71.300003,69.542305,178918400
2015-09-01,69.410004,72.320000,67.029999,69.660004,68.054047,208501300
2015-10-01,70.089996,78.889999,68.360001,77.580002,75.791466,177090000
2015-11-01,75.190002,81.010002,74.529999,79.010002,77.188499,183607700
2015-12-01,79.529999,80.489998,75.519997,77.550003,75.898315,196542500
2016-01-01,76.059998,76.510002,68.760002,74.489998,72.903473,260355100
2016-02-01,74.080002,74.779999,66.120003,72.389999,70.848206,213830500
2016-03-01,72.989998,77.000000,69.580002,76.480003,75.152763,195314100
2016-04-01,76.250000,81.730003,75.800003,77.239998,75.899567,174226900
2016-05-01,77.809998,79.870003,76.220001,78.940002,77.570068,146114900
2016-06-01,78.690002,81.709999,73.250000,74.169998,73.011909,233191700
2016-07-01,74.500000,80.169998,73.830002,78.050003,76.831329,183697800
2016-08-01,78.309998,81.760002,77.730003,80.900002,79.636826,149140400
2016-09-01,81.139999,83.790001,80.970001,82.699997,81.550011,178862900
2016-10-01,82.419998,83.699997,81.110001,82.510002,81.362648,178625400
2016-11-01,82.639999,83.959999,77.279999,77.320000,76.244812,234440900
2016-12-01,77.570000,80.389999,75.169998,78.019997,77.096985,244420700
2017-01-01,78.760002,84.269997,78.489998,82.709999,81.731514,159174300
2017-02-01,82.900002,88.489998,81.570000,87.940002,86.899643,167711400
2017-03-01,88.739998,92.050003,87.849998,88.870003,87.985794,176909000
2017-04-01,89.139999,92.800003,88.129997,91.220001,90.312408,156732200
2017-05-01,91.290001,95.529999,91.139999,95.230003,94.282516,158133400
2017-06-01,95.400002,96.599998,92.800003,93.779999,93.011696,199847800
2017-07-01,94.379997,101.180000,93.190002,99.559998,98.744339,156786000
2017-08-01,100.360001,104.199997,99.430000,103.519997,102.671890,151827700
2017-09-01,104.040001,106.839996,102.260002,105.239998,104.545883,141274000
2017-10-01,105.540001,110.739998,104.900002,109.980003,109.254623,142874100
2017-11-01,110.500000,113.620003,106.900002,112.589996,111.847404,137176700
2017-12-01,112.379997,114.919998,106.599998,114.019997,113.468666,178517500
