Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,58.330002,61.970001,58.310001,58.810001,54.114620,122718400
2013-02-01,59.330002,63.000000,59.209999,62.150002,57.387627,107254600
2013-03-01,61.840000,67.480003,61.509998,67.459999,62.290737,101367800
2013-04-01,67.419998,69.050003,63.430000,68.410004,63.167931,121827000
2013-05-01,68.250000,77.389999,68.160004,75.709999,70.115868,121571700
2013-06-01,75.889999,78.610001,71.680000,74.760002,69.236069,121769400
2013-07-01,75.529999,78.629997,73.470001,73.769997,68.319221,126314000
2013-08-01,74.529999,77.269997,71.470001,71.910004,66.799767,69917600
2013-09-01,72.589996,77.900002,72.139999,75.519997,70.153236,74592300
2013-10-01,75.639999,83.830002,72.080002,81.800003,75.986961,102592600
2013-11-01,82.120003,86.190002,80.220001,85.800003,79.944870,62754400
2013-12-01,86.019997,90.790001,83.209999,90.730003,84.538429,67589400
2014-01-01,90.900002,93.620003,84.910004,85.019997,79.218079,104874000
2014-02-01,84.989998,92.139999,82.629997,91.279999,85.270370,76173800
2014-03-01,90.599998,94.349998,89.160004,90.029999,84.102676,71488400
2014-04-01,90.400002,91.400002,83.989998,87.430000,81.673843,84786400
2014-05-01,87.529999,91.680000,85.750000,91.500000,85.692055,65091900
2014-06-01,91.790001,96.040001,91.269997,94.870003,88.848167,60522000
2014-07-01,95.419998,96.239998,87.989998,88.000000,82.414230,68452900
2014-08-01,87.410004,90.220001,85.750000,89.550003,84.097046,83077800
2014-09-01,89.900002,90.680000,86.760002,87.540001,82.209450,85326800
2014-10-01,86.900002,90.599998,78.410004,89.949997,84.472694,120825700
2014-11-01,90.320000,92.589996,89.650002,92.419998,87.050827,62030800
2014-12-01,92.070000,94.889999,88.190002,93.040001,87.634819,81719400
2015-01-01,93.169998,93.940002,80.559998,80.690002,76.002304,122710700
2015-02-01,80.959999,86.180000,77.120003,81.589996,77.076088,211849700
2015-03-01,81.589996,83.540001,77.620003,78.120003,73.798088,154136200
2015-04-01,78.050003,81.169998,76.529999,77.449997,73.409698,133795200
2015-05-01,77.849998,81.599998,77.309998,79.720001,75.561272,103381700
2015-06-01,79.940002,81.919998,77.650002,77.720001,73.665611,141751900
2015-07-01,78.639999,79.629997,74.300003,76.059998,72.361931,117895600
2015-08-01,75.860001,81.660004,71.709999,76.720001,72.989845,154783400
2015-09-01,74.849998,78.400002,72.660004,74.129997,70.525749,110113300
2015-10-01,74.160004,77.849998,71.389999,73.260002,69.698067,122063000
2015-11-01,73.430000,74.849998,70.209999,71.639999,68.414795,106832200
2015-12-01,72.000000,72.440002,67.570000,69.550003,66.418900,124047200
2016-01-01,68.089996,68.180000,52.150002,53.500000,51.091457,237298000
2016-02-01,53.410000,56.150002,50.270000,55.580002,53.310127,159538200
2016-03-01,56.029999,61.520000,55.619999,61.400002,58.892441,129839600
2016-04-01,60.980000,67.339996,58.700001,65.430000,62.757851,99786000
2016-05-01,65.580002,66.050003,62.320000,65.760002,63.379742,96718800
2016-06-01,65.760002,66.599998,57.150002,60.759998,58.560726,121804700
2016-07-01,60.759998,64.970001,58.250000,64.459999,62.439533,90055100
2016-08-01,64.489998,66.279999,63.200001,65.580002,63.524433,77463200
2016-09-01,65.550003,66.709999,62.849998,64.040001,62.032700,95454000
2016-10-01,63.830002,67.930000,59.500000,66.419998,64.338104,116115900
2016-11-01,66.769997,73.180000,65.029999,72.040001,70.133102,99266700
2016-12-01,72.449997,75.739998,71.430000,74.080002,72.119110,75158800
2017-01-01,74.889999,78.019997,74.739998,76.379997,74.358223,103868400
2017-02-01,76.849998,80.489998,76.059998,80.059998,78.273216,65806200
2017-03-01,81.050003,82.000000,76.669998,79.110001,77.344429,98700800
2017-04-01,79.169998,81.400002,75.510002,79.250000,77.481300,77884300
2017-05-01,79.220001,79.660004,75.970001,76.940002,75.531708,66075700
2017-06-01,77.230003,85.389999,76.949997,84.239998,82.698090,77467900
2017-07-01,84.690002,86.279999,83.330002,85.230003,83.669960,71355200
2017-08-01,85.720001,87.779999,83.970001,86.099998,84.843071,66388800
2017-09-01,86.309998,90.769997,84.019997,90.459999,89.139427,64969800
2017-10-01,90.440002,96.120003,90.040001,95.519997,94.125549,77019400
2017-11-01,96.290001,98.489998,92.779999,97.709999,96.655289,61227900
2017-12-01,98.080002,100.529999,95.849998,99.309998,98.238022,65046400
